Identifier,Crime Type,Date/Time,Address,Agency
14009900,Theft,2/13/14 15:30,2900 Block S NORFOLK ST,San Mateo Police Department
14009942,Sexual Assault,2/13/14 18:20,1 Block BAYWOOD AV,San Mateo Police Department
14009969,Theft,2/13/14 20:30,600 Block 9TH AV,San Mateo Police Department
14009970,Theft,2/13/14 20:32,800 Block ALAMEDA DE LAS PULGAS,San Mateo Police Department
14010056,Breaking & Entering,2/14/14 9:00,1300 Block WOODLAND DR,San Mateo Police Department
14010070,Sexual Assault,2/14/14 10:49,1 Block BAYWOOD AV,San Mateo Police Department
14010129,Theft,2/14/14 14:49,100 Block W 3RD AV,San Mateo Police Department
14010150,Theft,2/14/14 16:05,1400 Block YOUNG ST,San Mateo Police Department
14010155,Theft,2/14/14 16:30,800 Block N DELAWARE ST,San Mateo Police Department
14010242,Theft,2/14/14 22:28,100 Block N BAYSHORE BLVD,San Mateo Police Department
14010291,Assault,2/15/14 3:19,S DELAWARE ST &E 4TH AV,San Mateo Police Department
14010347,Theft,2/15/14 12:27,1 Block W 25TH AV,San Mateo Police Department
14010479,Theft of Vehicle,2/15/14 23:01,1800 Block S NORFOLK ST,San Mateo Police Department
14010552,Theft,2/16/14 12:06,100 Block HOBART AV,San Mateo Police Department
14010556,Theft,2/16/14 12:15,200 Block W POPLAR AV,San Mateo Police Department
14010569,Sexual Assault,2/16/14 13:22,500 Block S ELDORADO ST,San Mateo Police Department
14010574,Theft,2/16/14 13:59,100 Block W 25TH AV,San Mateo Police Department
