131219105,Breaking & Entering,2900 Block LAKESIDE DR,Santa Clara City Police Department,12/19/2013,0:00
131219120,Theft,2800 Block LAKESIDE DR,Santa Clara City Police Department,12/19/2013,0:00
131219149,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/19/2013,0:00
131219097,Theft,2900 Block LAKESIDE DR,Santa Clara City Police Department,12/19/2013,0:00
130012744,Theft,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/20/2013,0:00
130012733,Assault,ALPINE AV & EL CAMINO REAL,Santa Clara City Police Department,12/20/2013,0:00
131220190,Robbery,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/20/2013,0:00
130012741,Theft,3200 Block CENTRAL EXPY,Santa Clara City Police Department,12/20/2013,0:00
131220195,Theft,3200 Block CENTRAL EXPY,Santa Clara City Police Department,12/20/2013,0:00
130012724,Theft,2100 Block SAN ANTONIO PL,Santa Clara City Police Department,12/20/2013,0:00
131220201,Theft,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/20/2013,0:00
130012737,Breaking & Entering,3600 Block BUCKLEY ST,Santa Clara City Police Department,12/20/2013,0:00
130012750,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/20/2013,0:00
131220216,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/20/2013,0:00
130012742,Robbery,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/20/2013,0:00
131220164,Breaking & Entering,3600 Block BUCKLEY ST,Santa Clara City Police Department,12/20/2013,0:00
130012783,Breaking & Entering,3000 Block LAKESIDE DR,Santa Clara City Police Department,12/21/2013,0:00
130012769,Theft,3000 Block ORTHELLO WAY,Santa Clara City Police Department,12/21/2013,0:00
131221051,Theft,3000 Block ORTHELLO WAY,Santa Clara City Police Department,12/21/2013,0:00
131221104,Breaking & Entering,3000 Block LAKESIDE DR,Santa Clara City Police Department,12/21/2013,0:00
131221117,Theft,CABRILLO AV & FRANCIS AV,Santa Clara City Police Department,12/21/2013,0:00
131221124,Theft,3100 Block EL CAMINO REAL,Santa Clara City Police Department,12/21/2013,0:00
131222117,Theft,1700 Block ANDREA PL,Santa Clara City Police Department,12/22/2013,0:00
131222151,Theft,2000 Block WHITE OAK LN,Santa Clara City Police Department,12/22/2013,0:00
131222138,Theft,2500 Block AMETHYST DR,Santa Clara City Police Department,12/22/2013,0:00
130012813,Theft,2500 Block AMETHYST DR,Santa Clara City Police Department,12/22/2013,0:00
